key,manufacturer,ID,type,stages,ratio,mass,inertia,efficiency,direction,max_int_torque,max_cont_torque
FH_26_1R_R159:1,Faulhaber,26_1R_R159:1,planetary,4,159.0,0.162,0.0,0.6900000000000001,1.0,4.5,3.5
FH_26_1R_R246:1,Faulhaber,26_1R_R246:1,planetary,4,246.0,0.162,0.0,0.6900000000000001,1.0,4.5,3.5
FH_26_1R_R415:1,Faulhaber,26_1R_R415:1,planetary,5,415.0,0.185,0.0,0.62,1.0,4.5,3.5
FH_26_1R_R592:1,Faulhaber,26_1R_R592:1,planetary,5,592.0,0.185,0.0,0.62,1.0,4.5,3.5
FH_26_1R_R989:1,Faulhaber,26_1R_R989:1,planetary,5,989.0,0.185,0.0,0.62,1.0,4.5,3.5
FH_12_4_R4:1,Faulhaber,12_4_R4:1,planetary,1,4.0,0.012,0.0,0.9,1.0,0.45,0.3
FH_12_4_R16:1,Faulhaber,12_4_R16:1,planetary,2,16.0,0.015,0.0,0.8,1.0,0.45,0.3
FH_12_4_R64:1,Faulhaber,12_4_R64:1,planetary,3,64.0,0.018000000000000002,0.0,0.7000000000000001,1.0,0.45,0.3
FH_12_4_R256:1,Faulhaber,12_4_R256:1,planetary,4,256.0,0.021,0.0,0.6,1.0,0.45,0.3
FH_12_4_R1024:1,Faulhaber,12_4_R1024:1,planetary,5,1024.0,0.024,0.0,0.55,1.0,0.45,0.3
FH_17_1_R3.33:1,Faulhaber,17_1_R3.33:1,planetary,1,3.33,0.027999999999999997,0.0,0.9,1.0,0.8,0.55
FH_17_1_R4.5:1,Faulhaber,17_1_R4.5:1,planetary,1,4.5,0.027999999999999997,0.0,0.9,1.0,0.8,0.55
FH_17_1_R11:1,Faulhaber,17_1_R11:1,planetary,2,11.0,0.035,0.0,0.8,1.0,0.8,0.55
FH_17_1_R15:1,Faulhaber,17_1_R15:1,planetary,2,15.0,0.035,0.0,0.8,1.0,0.8,0.55
FH_17_1_R20:1,Faulhaber,17_1_R20:1,planetary,2,20.0,0.035,0.0,0.8,1.0,0.8,0.55
FH_17_1_R37:1,Faulhaber,17_1_R37:1,planetary,3,37.0,0.042,0.0,0.7000000000000001,1.0,0.8,0.55
FH_17_1_R44:1,Faulhaber,17_1_R44:1,planetary,3,44.0,0.042,0.0,0.7000000000000001,1.0,0.8,0.55
FH_17_1_R50:1,Faulhaber,17_1_R50:1,planetary,3,50.0,0.042,0.0,0.7000000000000001,1.0,0.8,0.55
FH_17_1_R68:1,Faulhaber,17_1_R68:1,planetary,3,68.0,0.042,0.0,0.7000000000000001,1.0,0.8,0.55
FH_17_1_R81:1,Faulhaber,17_1_R81:1,planetary,3,81.0,0.042,0.0,0.7000000000000001,1.0,0.8,0.55
FH_17_1_R91:1,Faulhaber,17_1_R91:1,planetary,3,91.0,0.042,0.0,0.7000000000000001,1.0,0.8,0.55
FH_17_1_R123:1,Faulhaber,17_1_R123:1,planetary,4,123.0,0.049,0.0,0.6,1.0,0.8,0.55
FH_17_1_R148:1,Faulhaber,17_1_R148:1,planetary,4,148.0,0.049,0.0,0.6,1.0,0.8,0.55
FH_17_1_R167:1,Faulhaber,17_1_R167:1,planetary,4,167.0,0.049,0.0,0.6,1.0,0.8,0.55
FH_17_1_R178:1,Faulhaber,17_1_R178:1,planetary,4,178.0,0.049,0.0,0.6,1.0,0.8,0.55
FH_17_1_R200:1,Faulhaber,17_1_R200:1,planetary,4,200.0,0.049,0.0,0.6,1.0,0.8,0.55
FH_17_1_R240:1,Faulhaber,17_1_R240:1,planetary,4,240.0,0.049,0.0,0.6,1.0,0.8,0.55
FH_17_1_R270:1,Faulhaber,17_1_R270:1,planetary,4,270.0,0.049,0.0,0.6,1.0,0.8,0.55
FH_17_1_R304:1,Faulhaber,17_1_R304:1,planetary,4,304.0,0.049,0.0,0.6,1.0,0.8,0.55
FH_17_1_R365:1,Faulhaber,17_1_R365:1,planetary,4,365.0,0.049,0.0,0.6,1.0,0.8,0.55
FH_17_1_R412:1,Faulhaber,17_1_R412:1,planetary,5,412.0,0.055999999999999994,0.0,0.5,1.0,0.8,0.55
FH_17_1_R494:1,Faulhaber,17_1_R494:1,planetary,5,494.0,0.055999999999999994,0.0,0.5,1.0,0.8,0.55
FH_17_1_R593:1,Faulhaber,17_1_R593:1,planetary,5,593.0,0.055999999999999994,0.0,0.5,1.0,0.8,0.55
FH_17_1_R667:1,Faulhaber,17_1_R667:1,planetary,5,667.0,0.055999999999999994,0.0,0.5,1.0,0.8,0.55
FH_17_1_R750:1,Faulhaber,17_1_R750:1,planetary,5,750.0,0.055999999999999994,0.0,0.5,1.0,0.8,0.55
FH_17_1_R800:1,Faulhaber,17_1_R800:1,planetary,5,800.0,0.055999999999999994,0.0,0.5,1.0,0.8,0.55
FH_17_1_R900:1,Faulhaber,17_1_R900:1,planetary,5,900.0,0.055999999999999994,0.0,0.5,1.0,0.8,0.55
