key,manufacturer,ID,type,V,k_t,R,L,mass,inertia,omega_nl,I_nl,max_int_torque,max_int_speed,max_cont_speed,max_cont_power,coulomb_friction,viscous_friction,Rth1,Rth2
AM_MF0150025_150V,Allied_Motion,MF0150025_150V,BLDC,150,0.765,0.613,0.00215,3.02,0.0013,185,,46.5,inf,inf,inf,,,0.85,
AM_MF0150025_300V,Allied_Motion,MF0150025_300V,BLDC,300,1.021,1.082,0.00383,3.01,0.0013,278,,46.5,inf,inf,inf,,,0.85,
AM_MF0150050_48V,Allied_Motion,MF0150050_48V,BLDC,48,0.691,0.242,0.000861,5.62,0.0025,65,,111.2,inf,inf,inf,,,0.7,
AM_MF0150050_150V,Allied_Motion,MF0150050_150V,BLDC,150,0.865,0.361,0.001346,5.64,0.0025,163,,111.2,inf,inf,inf,,,0.7,
AM_MF0150050_300V,Allied_Motion,MF0150050_300V,BLDC,300,1.383,0.984,0.003445,5.6,0.0025,204,,111.2,inf,inf,inf,,,0.7,
AM_MF0150075_48V,Allied_Motion,MF0150075_48V,BLDC,48,0.777,0.18,0.000681,8.53,0.0038,58,,166,inf,inf,inf,,,0.6,
AM_MF0150075_150V,Allied_Motion,MF0150075_150V,BLDC,150,1.166,0.421,0.001532,8.35,0.005,121,,166,inf,inf,inf,,,0.5,
AM_MF0150075_300V,Allied_Motion,MF0150075_300V,BLDC,300,1.555,0.732,0.002723,8.34,0.0038,182,,166,inf,inf,inf,,,0.6,
AM_MF0150100_48V,Allied_Motion,MF0150100_48V,BLDC,48,1.047,0.232,0.000899,11.04,0.005,44,,217,inf,inf,inf,,,0.5,
AM_MF0150100_150V,Allied_Motion,MF0150100_150V,BLDC,150,1.569,0.52,0.002022,11.04,0.005,90,,223,inf,inf,inf,,,0.5,
AM_MF0150100_300V,Allied_Motion,MF0150100_300V,BLDC,300,2.092,0.916,0.002696,11.03,0.005,136,,223,inf,inf,inf,,,0.5,
AM_MF0060008_48V,Allied_Motion,MF0060008_48V,BLDC,48,0.097,1.99,0.00049,0.13,0.000021,468,,2.3,inf,inf,inf,,,3.6,
AM_MF0060008_150V,Allied_Motion,MF0060008_150V,BLDC,150,0.23,9.1,0.0028,0.13,0.000043,617,,3.8,inf,inf,inf,,,3.1,
AM_MF0060008_300V,Allied_Motion,MF0060008_300V,BLDC,300,0.38,22.25,0.00771,0.13,0.000064,743,,3.9,inf,inf,inf,,,2.75,
AM_MF0060020_48V,Allied_Motion,MF0060020_48V,BLDC,48,0.13,1.17,0.00036,0.27,0.000043,354,,5.3,inf,inf,inf,,,3.1,
AM_MF0060020_150V,Allied_Motion,MF0060020_150V,BLDC,150,0.3,5.26,0.0019,0.27,0.000043,480,,6.4,inf,inf,inf,,,3.1,
AM_MF0060020_300V,Allied_Motion,MF0060020_300V,BLDC,300,0.48,12.71,0.00487,0.27,0.000043,599,,6.4,inf,inf,inf,,,3.1,
