key,manufacturer,ID,type,stages,ratio,mass,inertia,efficiency,direction,max_int_torque,max_cont_torque
MM_370805,Maxon,370805,planetary,4,479.457692307692,0.091,4e-08,0.49,1,3.8,3.4
MM_370806,Maxon,370806,planetary,4,560.596686390533,0.091,4e-08,0.49,1,3.8,3.4
MM_370807,Maxon,370807,planetary,4,590.49,0.091,4e-08,0.49,1,3.8,3.4
MM_370808,Maxon,370808,planetary,4,690.419076923077,0.091,4e-08,0.49,1,3.8,3.4
MM_370809,Maxon,370809,planetary,4,850.3056,0.091,4e-08,0.49,1,3.8,3.4
MM_401954,Maxon,401954,planetary,3,157.464,0.029,4e-09,0.73,1,0.6,0.4
MM_402672,Maxon,402672,planetary,3,127.855384615385,0.029,4e-09,0.73,1,0.6,0.4
MM_406092,Maxon,406092,planetary,3,236.096590909091,0.093,3.1e-08,0.7,1,6.2,4.5
MM_406128,Maxon,406128,planetary,3,71.1648317080843,0.093,3.1e-08,0.7,1,6.2,4.5
MM_406757,Maxon,406757,planetary,1,5.18181818181818,0.053,9.6e-08,0.9,1,1.1,0.75
MM_406762,Maxon,406762,planetary,2,19.2032085561497,0.077,5.4e-08,0.8,1,3.2,2.25
MM_406764,Maxon,406764,planetary,2,26.8512396694215,0.077,5.4e-08,0.8,1,3.2,2.25
MM_406767,Maxon,406767,planetary,2,34.9772727272727,0.077,5.4e-08,0.8,1,3.2,2.25
MM_406769,Maxon,406769,planetary,3,99.5075352455032,0.093,3.1e-08,0.7,1,6.2,4.5
MM_406770,Maxon,406770,planetary,3,139.138241923366,0.093,3.1e-08,0.7,1,6.2,4.5
MM_406771,Maxon,406771,planetary,3,181.245867768595,0.093,3.1e-08,0.7,1,6.2,4.5
MM_407883,Maxon,407883,planetary,2,19.2248520710059,0.025,5e-09,0.81,1,0.45,0.3
MM_409316,Maxon,409316,planetary,5,4591.65024,0.037,4e-09,0.59,1,0.9,0.6
MM_414453,Maxon,414453,planetary,5,3027.22210650888,0.037,5e-09,0.59,1,0.9,0.6
MM_415476,Maxon,415476,planetary,5,3728.26301538462,0.037,4e-09,0.59,1,0.9,0.6
MM_415786,Maxon,415786,planetary,5,2458.00085571234,0.037,5e-09,0.59,1,0.9,0.6
MM_415807,Maxon,415807,planetary,4,850.3056,0.033,4e-09,0.65,1,0.75,0.5
MM_415893,Maxon,415893,planetary,5,1995.81266062113,0.037,5e-09,0.59,1,0.9,0.6
MM_416028,Maxon,416028,planetary,4,690.419076923077,0.033,5e-09,0.65,1,0.75,0.5
MM_416097,Maxon,416097,planetary,4,560.596686390533,0.033,5e-09,0.65,1,0.75,0.5
MM_416115,Maxon,416115,planetary,4,455.185343650432,0.033,5e-09,0.65,1,0.75,0.5
MM_416188,Maxon,416188,planetary,5,1620.53164751288,0.037,5e-09,0.65,1,0.9,0.6
MM_416328,Maxon,416328,planetary,1,4.38461538461539,0.022,7e-09,0.9,1,0.3,0.2
MM_416385,Maxon,416385,planetary,3,103.814201183432,0.029,5e-09,0.73,1,0.6,0.4
MM_416391,Maxon,416391,planetary,3,84.2935821574875,0.029,5e-09,0.73,1,0.6,0.4
MM_416428,Maxon,416428,planetary,2,29.16,0.025,4e-09,0.81,1,0.45,0.3
MM_416499,Maxon,416499,planetary,2,23.6769230769231,0.025,4e-09,0.81,1,0.45,0.3
MM_416500,Maxon,416500,planetary,1,5.4,0.022,5e-09,0.9,1,0.3,0.2
MM_438992,Maxon,438992,planetary,NaN,4.38461538461539,0.044,3.8e-08,0.9,1,0.8,0.5
